Product Name,Product Score,Cancer Concern,Allergies & Immunotoxicity,Developmental and Reproductive Toxicity,Use Restrictions,Other Concerns
ACACIA CONCINNA (SHIKAKAI) FRUIT POWDER,1,LOW,LOW,LOW,LOW,
PHYTOSTERYL CANOLA GLYCERIDES,1,LOW,LOW,LOW,LOW,
TETRAPHENYL DIMETHYL DISILOXANE,1,LOW,LOW,LOW,LOW,
BALANITES AEGYPTIACA KERNEL OIL,1,LOW,LOW,LOW,LOW,
BENZOIN OIL,1,LOW,LOW,LOW,LOW,
CALCIUM PANTETHEINE SULFONATE,1,LOW,LOW,LOW,LOW,
CHRYSANTHEMUM COCCINEUM (PYRETHUM DAISY) FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
COLEUS BARBATUS (FORSKOHLII) EXTRACT,1,LOW,LOW,LOW,LOW,
ETHYLHEXYL ETHYLHEXANOATE,5,LOW,LOW,MODERATE,HIGH,"Use restrictions (high), Multiple, additive exposure sources (low), and Irritation (skin, eyes, or lungs) (low)"
GLYCYRRHIZA URALENSIS (GAN CAO) EXTRACT,4,LOW,LOW,MODERATE,LOW,"Neurotoxicity (low), Endocrine disruption (moderate), and Non-reproductive organ system toxicity (moderate)"
MEA-BORATE,6,LOW,LOW,MODERATE,HIGH,Use restrictions (high) and Endocrine disruption (moderate)
METHYLSILANOL MANNURONATE,1,LOW,LOW,LOW,LOW,
PABA,5,LOW,MODERATE,LOW,HIGH,"Use restrictions (high), Multiple, additive exposure sources (low), and Biochemical or cellular level changes (high)"
PHOENIX DACTYLIFERA (DATE) KERNEL EXTRACT,1,LOW,LOW,LOW,LOW,
PICEA EXCELSA (NORWAY SPRUCE) EXTRACT,1,LOW,LOW,LOW,LOW,
POLOXAMERS,1,LOW,LOW,LOW,LOW,
SACCHAROMYCES/ POTASSIUM FERMENT,1,LOW,LOW,LOW,LOW,
VITAMIN B8,1,LOW,LOW,LOW,LOW,
5-AMINO-6-CHLORO-O-CRESOL,6,MODERATE,MODERATE,LOW,HIGH,Use restrictions (high) and Persistence and bioaccumulation (moderate)
ACETYLATED SUCROSE DISTEARATE,1,LOW,LOW,LOW,LOW,
ALUMINUM ZIRCONIUM PENTACHLOROHYDREX GLY,2,LOW,LOW,LOW,MODERATE,Use restrictions (moderate) and Non-reproductive organ system toxicity (low)
CORN GLUTEN AMINO ACIDS,1,LOW,LOW,LOW,LOW,
ISOMERIZED LINOLEIC ACID,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
METHYLSILANOL/ SILICATE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
NEPHELIUM LAPPACEUM PEEL EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-90,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate) and Contamination concerns (high)
POTASSIUM COCOYL HYDROLYZED SOY PROTEIN,1,LOW,LOW,LOW,LOW,
SOLVENT RED 49:1,3,LOW,LOW,LOW,HIGH,Use restrictions (high)
ZINGIBER OFFICINALE (GINGER) WATER,1,LOW,LOW,LOW,LOW,
BIOTIN/ FOLIC ACID/ CYANOCOBALAMIN/ NIACINAMIDE/ PANTOTHENIC ACID/ RIBOFLAVIN/ THIAMINE/ YEAST POLYPEPTIDES,1,LOW,LOW,LOW,LOW,
PROPIONIC ACID ETHYL ESTER,1,LOW,LOW,LOW,LOW,
ACETOIN,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (moderate)
LATHYRUS ODORATUS FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
BENZYLIDENE DIMETHOXYDIMETHYLINDANONE,1,LOW,LOW,LOW,LOW,
POLYSILICONE 19,1,LOW,LOW,LOW,LOW,
SPONDIAS MOMBIN PULP EXTRACT,1,LOW,LOW,LOW,LOW,
ETHYLHEXYL POLYHYDROXYSTEARATE,1,LOW,LOW,LOW,LOW,
OLIGOPEPTIDE-32,1,LOW,LOW,LOW,LOW,
PHYLLANTHUS EMBLICA SEED OIL,1,LOW,LOW,LOW,LOW,
C9-15 FLUOROALCOHOL PHOSPHATE,0,MODERATE,HIGH,HIGH,HIGH,"Use restrictions (high), Endocrine disruption (moderate), Persistence and bioaccumulation (high), and Non-reproductive organ system toxicity (moderate)"
CAMELLIA OLEIFERA (TEA-OIL CAMELLIA),1,LOW,LOW,LOW,LOW,
CARBOPOL 956,1,LOW,LOW,LOW,LOW,
CHITIN EXTRACT,1,LOW,LOW,LOW,LOW,
CITRUS SEED OIL,1,LOW,LOW,LOW,LOW,
DIOLEYL TOCOPHERYL METHYLSILANOL,1,LOW,LOW,LOW,LOW,
ELASTIN,1,LOW,LOW,LOW,LOW,
FD&C RED 3,4,LOW,LOW,LOW,HIGH,Use restrictions (high) and Persistence and bioaccumulation (moderate)
GLUCOSAMINE,1,LOW,LOW,LOW,LOW,
HYDROLYZED ROE,1,LOW,LOW,LOW,LOW,
IRIS L. (IRIS) EXTRACT,1,LOW,LOW,LOW,LOW,
ISODECYL SALICYLATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
LAMIUM ALBUM (WHITE NETTLE) EXTRACT,1,LOW,LOW,LOW,LOW,
METHYL LACTATE,4,LOW,LOW,LOW,HIGH,"Use restrictions (high) and Irritation (skin, eyes, or lungs) (high)"
N6-FURFURYLADENINE,1,LOW,LOW,LOW,LOW,
TRILINOLEIN,1,LOW,LOW,LOW,LOW,Enhanced skin absorption
BASIC BLUE 7,5,MODERATE,LOW,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
C12-14 SEC-PARETH-7,1,LOW,LOW,LOW,LOW,Use restrictions (low)
COBALT TITANIUM OXIDE,3,MODERATE,MODERATE,LOW,LOW,Non-reproductive organ system toxicity (low)
CORNUS OFFICINALIS FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
DISTEARYL PHTHALIC ACID AMIDE,1,LOW,LOW,LOW,LOW,
GYNOSTEMMA PENTAPHYLLUM EXTRACT,1,LOW,LOW,LOW,LOW,
PINUS PALUSTRIS (LONGLEAF PINE) OIL,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate) and Non-reproductive organ system toxicity (moderate)
PRUNUS SEROTINA (WILD CHERRY),1,LOW,LOW,LOW,LOW,
STEARDIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN,1,LOW,LOW,LOW,LOW,
TETRABUTYL PHENYL HYDROXYBENZOATE,1,LOW,LOW,LOW,LOW,
ISOSTEARYL STEAROYL STEARATE,1,LOW,LOW,LOW,LOW,
LIPPIA CITRIODORA LEAF EXTRACT,6,LOW,HIGH,LOW,HIGH,Use restrictions (high)
MONTAN ACID WAX,1,MODERATE,LOW,MODERATE,LOW,"Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
PPG-38-BUTETH-37,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Multiple, additive exposure sources (low)"
PYRUS MALUS (APPLE) SEED EXTRACT,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
SOLVENT YELLOW 29,4,LOW,LOW,LOW,HIGH,Use restrictions (high)
SOYAMIDOPROPYLAMINE OXIDE,1,LOW,LOW,LOW,LOW,
SWIFTLET NEST EXTRACT,1,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low)
UNDECYL ALCOHOL,1,LOW,LOW,LOW,LOW,
VIROLA SEBIFERA NUT OIL,1,LOW,LOW,LOW,LOW,
STYRENE,0,MODERATE,MODERATE,MODERATE,HIGH,"Use restrictions (high), Endocrine disruption (moderate), Non-reproductive organ system toxicity (high), Ecotoxicology (low), Irritation (skin, eyes, or lungs) (high), and Occupational hazards (high)"
UNSPECIFIED EMOLLIENTS,4,LOW,LOW,LOW,LOW,
MOONSTONE POWDER,1,LOW,LOW,LOW,LOW,
OLIVINE EXTRACT,1,LOW,LOW,LOW,LOW,
PRUNUS YEDOENSIS BARK EXTRACT,1,LOW,LOW,LOW,LOW,
SULPHUR DIOXIDE,3,LOW,LOW,MODERATE,LOW,Non-reproductive organ system toxicity (low) and Occupational hazards (high)
C 26-28 ALKYL DIMETHICONE/ VINYL DIMETHICONE CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
HYDROGENATED SOY POLYGLYCERIDES,1,LOW,LOW,LOW,LOW,
SODIUM METHOXY PEG-16 MALEATE/ STYRENE SULFONATE COPOLYMER,1,LOW,LOW,LOW,LOW,
ETHYLHEXYL ACRYLATE,1,MODERATE,LOW,LOW,LOW,
SEQUOIA SEMPERVIRENS (REDWOOD) EXTRACT,1,LOW,LOW,LOW,LOW,
PEG/ PPG-20/ 20 PHENYLISOPROPYL CAPRYLYL DIMETHICONE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
CODIUM FRAGILE EXTRACT,1,LOW,LOW,LOW,LOW,
GALAXOLIDE,6,LOW,HIGH,LOW,LOW,"Enhanced skin absorption, Endocrine disruption (moderate), Persistence and bioaccumulation (moderate), and Ecotoxicology (low)"
ASHWAGANDHA,1,LOW,LOW,LOW,LOW,
CORALLINA OFFICINALIS,1,LOW,LOW,LOW,LOW,
FERRIC AMMONIUM,1,LOW,LOW,LOW,LOW,
LEPTOSPERMUM PETERSONII (LEMON TEA TREE) OIL,1,LOW,LOW,LOW,LOW,
METHYL GLUCETH-20 BENZOATE,1,LOW,LOW,LOW,LOW,
METHYLBENZODIOXEPINONE,1,LOW,LOW,LOW,LOW,
OLETH-2 POLYSORBATE 20,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PINUS (PINE) OIL,1,LOW,LOW,LOW,LOW,
SODIUM LAURETH-13 CARBOXYLATE,2,LOW,LOW,LOW,LOW,Contamination concerns (high)
STEAROYL STEARATE,1,LOW,LOW,LOW,LOW,
ULMUS FULVA (SLIPPERY ELM),1,LOW,LOW,LOW,LOW,
ACACIA SENEGAL EXTRACT,1,LOW,LOW,LOW,LOW,Use restrictions (low)
ANGELICA KEISKEI EXTRACT,1,LOW,LOW,LOW,LOW,
BUTYL ACRYLATE/ ETHYLHEXYL METHACRYLATE COPOLYMER,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
CANDELILLA WAX HYDROCARBONS,1,LOW,LOW,LOW,LOW,
CANOLA OIL GLYCERIDE,1,LOW,LOW,LOW,LOW,
CYPERUS ROTUNDUS ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
DIOSCOREA OPPOSITA (WILD YAM) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
LAURDIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT STARCH,1,LOW,LOW,LOW,LOW,
PRUNUS AVIUM (SWEET CHERRY) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
RUBUS SUAVISSIMUS (RASPBERRY) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
SODIUM C12-18 ALKYL SULFATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (moderate)"
STEARYL ACETATE,1,LOW,LOW,LOW,LOW,
ZEA MAYS (CORN) COB POWDER,1,LOW,LOW,LOW,LOW,
FRAGARIA (STRAWBERRY) LEAF INFUSION,1,LOW,LOW,LOW,LOW,
THEOBROMA CACAO (COCOA) PASTE,1,LOW,LOW,LOW,LOW,
PIMENTA RACEMOSA (BAY RUM) OIL,3,LOW,HIGH,LOW,LOW,Non-reproductive organ system toxicity (moderate)
ISOAMYL SALICYLATE,1,LOW,LOW,LOW,LOW,
4-METHYLPENTAN-2-OL,1,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (moderate) and Irritation (skin, eyes, or lungs) (high)"
BACOPA MONNIERA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
MYRISTAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE,4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (moderate)"
MYRISTOYL PENTAPEPTIDE-4,1,LOW,LOW,LOW,LOW,
BAICALIN,4,LOW,LOW,LOW,LOW,
HORDEUM VULGARE (BARLEY),1,LOW,LOW,LOW,LOW,
TANACETUM VULGARE (TANSY) EXTRACT,1,LOW,LOW,LOW,LOW,
WHEATGRASS,1,LOW,LOW,LOW,LOW,
WHITE TEA LEAF,1,LOW,LOW,LOW,LOW,
"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",2,LOW,MODERATE,LOW,MODERATE,"Use restrictions (moderate), Endocrine disruption (low), and Irritation (skin, eyes, or lungs) (low)"
ASTROCARYUM VULGARE KERNEL OIL,1,LOW,LOW,LOW,LOW,
BELAMCANDA CHINENSIS ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
DICOCOYLETHYL HYDROXYETHYLMONIUM METHOSULFATE,4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (moderate)"
DISODIUM CETYL PHENYL ETHER DISULFONATE,1,LOW,LOW,LOW,LOW,
ERYNGIUM MARITIMUM EXTRACT,1,LOW,LOW,LOW,LOW,
ISOBORNYL METHACRYLATE,4,LOW,MODERATE,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
ISOBUTYLENE/ ETHYLMALEIMIDE/ HYDROXYETHYLMALEIMIDE COPOLYMER,1,LOW,LOW,LOW,LOW,
ISOPROPYL ACETATE,1,LOW,LOW,LOW,LOW,"Irritation (skin, eyes, or lungs) (high) and Occupational hazards (moderate)"
LACTUCA SATIVA (LETTUCE) EXTRACT,1,LOW,LOW,LOW,LOW,
MENTHYL ACETATE,1,LOW,LOW,LOW,LOW,
MORUS BOMBYCIS (KUWA) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
ORYZA SATIVA (RICE) OIL,1,LOW,LOW,LOW,LOW,Use restrictions (low) and Contamination concerns (high)
"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",2,LOW,MODERATE,LOW,MODERATE,"Use restrictions (moderate), Endocrine disruption (low), and Irritation (skin, eyes, or lungs) (low)"
ASTROCARYUM VULGARE KERNEL OIL,1,LOW,LOW,LOW,LOW,
BELAMCANDA CHINENSIS ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
DICOCOYLETHYL HYDROXYETHYLMONIUM METHOSULFATE,4,LOW,HIGH,LOW,LOW,"Neurotoxicity (low), Endocrine disruption (low), and Non-reproductive organ system toxicity (moderate)"
DISODIUM CETYL PHENYL ETHER DISULFONATE,1,LOW,LOW,LOW,LOW,
ERYNGIUM MARITIMUM EXTRACT,1,LOW,LOW,LOW,LOW,
ISOBORNYL METHACRYLATE,4,LOW,MODERATE,LOW,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
MENADIONE,1,LOW,LOW,LOW,LOW,
PEG-40 SORBITAN PERISOSTEARATE,4,LOW,MODERATE,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PEG-8 ISOSTEARATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
POLYEPSILON-LYSINE,1,LOW,LOW,LOW,LOW,
SODIUM MAGNESIUM FLUOROSILICATE,1,LOW,LOW,LOW,LOW,
SODIUM SORBATE,2,LOW,MODERATE,LOW,LOW,Non-reproductive organ system toxicity (low)
SUCROSE MYRISTATE,1,LOW,LOW,LOW,LOW,
THUJA OCCIDENTALIS BARK EXTRACT,1,LOW,LOW,LOW,HIGH,Use restrictions (high)
URTICA DIOICA (NETTLE) LEAF POWDER,1,LOW,LOW,LOW,LOW,
ZINGIBER AROMATICUS EXTRACT,1,LOW,LOW,LOW,LOW,
COCONUT FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
HC BLUE No. 1,5,MODERATE,LOW,LOW,HIGH,Use restrictions (high)
Mahonia aquifolium (OREGON GRAPE) ROOT,1,LOW,LOW,LOW,LOW,
GRIFOLA FRONDOSA EXTRACT,1,LOW,LOW,LOW,LOW,
HYDROLYZED CORN STARCH HYDROXYETHYL ETHER,1,LOW,LOW,LOW,LOW,
SPARASSIS CRISPA EXTRACT,1,LOW,LOW,LOW,LOW,
VIGNA RADIATA SEED EXTRACT,1,LOW,LOW,LOW,LOW,
"FERRATE(4-), HEXACYANO-, TETRASODIUM",2,LOW,LOW,LOW,LOW,Persistence and bioaccumulation (moderate) and Non-reproductive organ system toxicity (moderate)
HYDROLYZED RHIZOBIAN GUM,1,LOW,LOW,LOW,LOW,
ACETYL HEXAPEPTIDE-30,1,LOW,LOW,LOW,LOW,
GLYCIDYL NEODECANOATE/ PHTHALIC ANHYDRIDE/ TMP CROSSPOLYMER,1,LOW,LOW,LOW,LOW,
CITRUS AURANTIUM AMARA (BITTER ORANGE) PEEL WATER,1,LOW,LOW,LOW,LOW,
Pseudozyma Epicola/ Apricot Kernel Oil/ Olive Fruit Oil/ Sweet Almond Oil/ Sunflower Seed Oil/ Licorice Root Extract Ferment Extract Filtrate,4,LOW,LOW,MODERATE,LOW,"Neurotoxicity (low), Endocrine disruption (moderate), and Non-reproductive organ system toxicity (moderate)"
BUDDLEJA GLOBOSA (MATICO) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
Acid Yellow 3 (Uncertified D&C Yellow No. 10),2,LOW,LOW,LOW,HIGH,"Use restrictions (high), Neurotoxicity (low), Endocrine disruption (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
ARNICA MONTANA (ARNICA) OIL,1,LOW,LOW,LOW,LOW,
CALCIUM OXIDE,1,LOW,LOW,LOW,LOW,"Enhanced skin absorption and Irritation (skin, eyes, or lungs) (low)"
DECYL GLUCOSE,1,LOW,LOW,LOW,LOW,
GUANOSINE,1,LOW,LOW,LOW,LOW,
NORI,1,LOW,LOW,LOW,LOW,
PUNICA GRANATUM (POMEGRANATE) BARK EXTRACT,1,LOW,LOW,LOW,LOW,
ROSMARINIC ACID,1,LOW,LOW,LOW,LOW,
SILVER CHLORIDE,2,LOW,LOW,LOW,LOW,"Persistence and bioaccumulation (moderate), Non-reproductive organ system toxicity (moderate), and Ecotoxicology (low)"
SODIUM C8-16 ISOALKYLSUCCINYL LACTOGLOBULIN SULFONATE,1,LOW,LOW,LOW,LOW,
SODIUM COCOGLYCERYL ETHER SULFONATE,1,LOW,LOW,LOW,LOW,
SODIUM PERBORATE,6,LOW,LOW,MODERATE,HIGH,"Use restrictions (high), Non-reproductive organ system toxicity (moderate), Multiple, additive exposure sources (low), Irritation (skin, eyes, or lungs) (low), and Occupational hazards (high)"
STEARYL BENZOATE,1,LOW,LOW,LOW,LOW,
VEGETABLE CETYL ALCOHOL,1,LOW,LOW,LOW,LOW,
4-HYDROXYPROPYLAMINO-3-NITROPHENOL,4,LOW,LOW,LOW,HIGH,"Use restrictions (high), Ecotoxicology (low), and Irritation (skin, eyes, or lungs) (high)"
ALKANNA TINCTORIA (ALKANET),1,LOW,LOW,LOW,LOW,
CORYLUS ROSTRATA (HAZEL) SEED EXTRACT,1,LOW,LOW,LOW,LOW,
FAEX,1,LOW,LOW,LOW,LOW,
GLASS,5,LOW,LOW,LOW,HIGH,Use restrictions (high) and Non-reproductive organ system toxicity (low)
HIBISCUS ESCULENTUS SEED EXTRACT,1,LOW,LOW,LOW,LOW,
HORDEUM VULGARE SEED FLOUR,1,LOW,LOW,LOW,LOW,
KALANCHOE PINNATA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
MORUS NIGRA LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
OLETH-5 PHOSPHATE,2,LOW,LOW,LOW,LOW,Contamination concerns (high)
POLYQUATERNIUM-52,1,LOW,LOW,LOW,LOW,
SODIUM OLIVAMPHOACETATE,1,LOW,LOW,LOW,LOW,
THEANINE,1,LOW,LOW,LOW,LOW,
CYMBOPOGON FLEXUOSUS (LEMONGRASS) POWDER,1,LOW,LOW,LOW,LOW,
CUPRESSUS FUNEBRIS TWIG WOOD OIL,1,LOW,LOW,LOW,LOW,
ALLYL CYCLOHEXYLPROPIONATE,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
AZURITE,1,LOW,LOW,LOW,LOW,
POLYACRYLATE-15,1,LOW,LOW,LOW,LOW,
PIMENTA OFFICINALIS (PIMENTO) LEAF OIL,1,LOW,LOW,LOW,LOW,
SANTALUM SPICATA (SANDALWOOD) POWDER,1,LOW,LOW,LOW,LOW,
"MINERAL OIL, WHITE",1,LOW,LOW,LOW,LOW,
NYLON,1,LOW,LOW,LOW,LOW,
"Oils, narcissus poeticus",1,LOW,LOW,LOW,LOW,
XYLITYLGLUCOSIDE ANHYDROXYLITOL XYLITOL,1,LOW,LOW,LOW,LOW,
ARNICA MONTANA (ARNICA) FLOWER OIL,1,LOW,LOW,LOW,LOW,
ASCORBYL PHOSPHATE,1,LOW,LOW,LOW,LOW,
C12-15 PARETH-12,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
C18-36 ACID,1,LOW,LOW,LOW,LOW,
CARBOCYSTEINE,1,LOW,LOW,LOW,LOW,
CITRONELLYL ACETATE,1,LOW,LOW,LOW,LOW,
COCONUT OIL CASTILE,1,LOW,LOW,LOW,LOW,
GYNOSTEMMA PENTAPHYLLUM (SWEET TEA VINE) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
HEXAPEPTIDE-3,1,LOW,LOW,LOW,LOW,
LAUROYL SARCOSINE,1,LOW,LOW,LOW,LOW,Enhanced skin absorption and Use restrictions (low)
OENOTHERA BIENNIS (EVENING PRIMROSE) ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
OLEA EUROPAEA (OLIVE) BUTTER,1,LOW,LOW,LOW,LOW,
PETROSELINUM CRISPUM (PARSLEY),1,LOW,LOW,LOW,LOW,
PTEROCARPUS SANTALINUS (RED SANDALWOOD) EXTRACT,1,LOW,LOW,LOW,LOW,
RUMEX ACETOSELLA (SHEEP SORREL) EXTRACT,1,LOW,LOW,LOW,LOW,
SODIUM DNA,1,LOW,LOW,LOW,LOW,
TAGETES ERECTA (AZTEC MARIGOLD) EXTRACT,4,LOW,LOW,LOW,HIGH,"Use restrictions (high) and Irritation (skin, eyes, or lungs) (high)"
AGRIMONIA EUPATORIA EXTRACT,1,LOW,LOW,LOW,LOW,
ALUMINUM ZIRCONIUM TRICHLOROHYDRATE,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate) and Non-reproductive organ system toxicity (low)
CITRONELLAL,1,LOW,LOW,LOW,MODERATE,Use restrictions (moderate)
OCTYLDODECETH-20,1,LOW,LOW,LOW,LOW,"Use restrictions (low) and Irritation (skin, eyes, or lungs) (low)"
POTASSIUM ALGINATE,1,LOW,LOW,LOW,LOW,
SAND,1,LOW,LOW,LOW,LOW,
TRIETHYLHEXYL TRIMELLITATE,2,LOW,LOW,MODERATE,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (moderate), and Irritation (skin, eyes, or lungs) (low)"
OCTYLDODECYL/ PPG-3 MYRISTYL ETHER DIMER DILINOLEATE,1,LOW,LOW,LOW,LOW,
CHENOPODIUM QUINOA FLOWER/ LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
DIPENTAERYTHRITYL PENTAISOSTEARATE,1,LOW,LOW,LOW,LOW,
HYDROLYZED WOOL,1,LOW,LOW,LOW,LOW,
LEPTOSPERMUM SCOPARIUM (MANUKA) LEAF EXTRACT,1,LOW,LOW,LOW,LOW,
MAGNOLIA LILIFLORA BUD EXTRACT,1,LOW,LOW,LOW,LOW,
PHYLLOSTACHYS EDULIS EXTRACT,1,LOW,LOW,LOW,LOW,
HALLOYSITE,1,LOW,LOW,LOW,LOW,
"BENZENESULFONAMIDE, 2-(2,2-DIFLUOROETHOXY)-N-(5,8-DIMETHOXY(1,2,4)TRIAZOLO(1,5-C)PYRIMIDIN-2-",1,LOW,LOW,LOW,LOW,
GLYCEROPHOSPHOINOSITOL LYSINE,1,LOW,LOW,LOW,LOW,
EMBLICA OFFICINALIS (INDIAN GOOSEBERRY) FRUIT POWDER,1,LOW,LOW,LOW,LOW,
HYDROXYECTOIN,1,LOW,LOW,LOW,LOW,
PUNICA GRANATUM FLOWER EXTRACT,1,LOW,LOW,LOW,LOW,
CITRUS LIMON (LEMON) BARK EXTRACT,1,LOW,LOW,LOW,LOW,
Hydrolyzed Corallina Officinalis Extract,1,LOW,LOW,LOW,LOW,
PSEUDOZYMA EPICOLA/ CAMELLIA SINENSIS SEED OIL/ GLUCOSE/ MALT EXTRACT/ SOYBEAN FLOUR/ YEAST EXTRACT,1,LOW,LOW,LOW,LOW,
ACETYL HEXAPEPTIDE-49,1,LOW,LOW,LOW,LOW,
METHYLTHIOPROPYLAMIDO ACETYL METHIONINE,1,LOW,LOW,LOW,LOW,
MAGNESIUM LAURATE,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Multiple, additive exposure sources (low), and Irritation (skin, eyes, or lungs) (low)"
METHYL ETHYL KETONE,3,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (high) and Irritation (skin, eyes, or lungs) (high)"
METHYLSILANOL,1,LOW,LOW,LOW,LOW,
MUSA SAPIENTUM (PLANTAIN),1,LOW,LOW,LOW,LOW,
OCTYL ISOPALMITATE,1,LOW,LOW,LOW,LOW,Use restrictions (low)
PAPAVER RHOEAS (CORN POPPY) EXTRACT,1,LOW,LOW,LOW,LOW,
VEGETABLE AMINO ACIDS,1,LOW,LOW,LOW,LOW,
6-METHYL COUMARIN,6,LOW,HIGH,LOW,HIGH,Use restrictions (high)
ARGAN OIL PEG-8 ESTERS,3,LOW,LOW,LOW,LOW,"Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
CI 73000,1,LOW,LOW,LOW,LOW,
HYDROGENATED VEGETABLE GLYCERIDES CITRATE,1,LOW,LOW,LOW,LOW,
HYDROLYZED GINSENG SAPONINS,1,LOW,LOW,LOW,LOW,
HYPERICUM ERECTUM EXTRACT,1,LOW,LOW,LOW,LOW,
IRIS GERMANICA ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
POLYQUATERNIUM-30,1,LOW,LOW,LOW,LOW,
REHMANNIA CHINENSIS ROOT EXTRACT,1,LOW,LOW,LOW,LOW,
SALVIA OFFICINALIS (SAGE) POWDER,1,LOW,LOW,LOW,LOW,
SIEGESBECKIA ORIENTALIS (ST. PAULSWORT) EXTRACT,1,LOW,LOW,LOW,LOW,
SOPHORA JAPONICA (JAPANESE PAGODA TREE) EXTRACT,1,LOW,LOW,LOW,LOW,
THUJA OCCIDENTALIS (ARBORVITAE),1,LOW,MODERATE,LOW,LOW,
LACTOBACILLUS/ WASABIA JAPONICA ROOT FERMENT EXTRACT,1,LOW,LOW,LOW,LOW,
LAGENARIA SICERARIA FRUIT EXTRACT,1,LOW,LOW,LOW,LOW,
PEG-12 OLEATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
PEG-4 DISTEARYL ETHER,1,LOW,LOW,LOW,LOW,"Use restrictions (low), Non-reproductive organ system toxicity (low), Irritation (skin, eyes, or lungs) (low), and Contamination concerns (high)"
PEG-5 GLYCERYL TRIISOSTEARATE,3,LOW,LOW,LOW,LOW,Non-reproductive organ system toxicity (low) and Contamination concerns (high)
RUBUS FRUTICOSUS (BLACKBERRY) JUICE,1,LOW,LOW,LOW,LOW,
